SPECIES_PK,LL_SPECIES,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,LOCAL_NAME,FAMILY,ABBREVIATION,FUS_CODE,FACTOR_A,FACTOR_B,NUM_SAMPLES,MAX_LEN,MIN_LEN,MAX_PRLB_IMPORT,MIN_PRLB_IMPORT,MAX_PRLB_DOMESTIC,MIN_PRLB_DOMESTIC,MAX_LB_FISH,MIN_LB_FISH,AVG_LB_FISH,MAX_CAUGHT_1000HOOKS,ENTRY_NAME,REMARKS,SYS_CREATE_TIME,SYS_MODIFY_TIME,LOAD_TABLE,LOAD_DATETIME,LOAD_USER
111,0,Caranx,"Black jack",lugubris,"Black jack",Tafauli,Carangidae,NULL,1805,17.914,3.018,0,0.00,0.00,0.00,0.00,0.00,0.00,11.94,0.70,3.32,0.00,"Jack, Black",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
112,0,Caranx,"Bigeye trevally",sexfasciatus,"Bigeye trevally","Malauli matalapoa",Carangidae,NULL,1799,17.348,2.919,0,0.00,0.00,0.00,0.00,0.00,0.00,27.80,0.39,4.11,0.00,"Trevally, Bigeye",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
113,0,Caranx,"Bluefin trevally",melampygus,"Bluefin trevally","Malauli apamoana",Carangidae,NULL,1799,17.348,2.919,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Trevally, Bluefin",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
114,0,Carangoides,"Goldspot trevally",orthogrammus,"Goldspot trevally",NULL,Carangidae,NULL,1799,17.805,3.010,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Trevally, Goldspot",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
115,0,Caranx,"Brassy trevally",papuensis,"Brassy trevally","Malauli sinasama",Carangidae,NULL,1799,17.348,2.919,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Trevally, Brassy",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
116,0,Carangoides,"Blue kingfish trevally",caeruleopinnatus,"Blue kingfish trevally","Lalafutu (Blue Kingfish)",Carangidae,NULL,1799,17.023,2.866,0,0.00,0.00,0.00,0.00,0.00,0.00,7.31,0.66,2.19,0.00,"Trevally, Blue Kingfish",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
117,0,Uraspis,"Whitemouth trevally",secunda,"Whitemouth trevally","Malauli gutupae (Cottonmouth)",Carangidae,NULL,1799,17.422,2.934,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Trevally, Whitemouth",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
118,0,Seriola,Amberjack,rivoliana,Amberjack,Tafala,Carangidae,NULL,1799,16.475,2.767,0,0.00,0.00,0.00,0.00,0.00,0.00,67.54,4.52,17.47,0.00,Amberjack,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
119,0,Caranx,"Giant trevally",ignoblis,"Giant trevally",Sapoanae,Carangidae,NULL,1799,17.295,2.910,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Trevally, Giant",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
120,28,Sphyraena,Barracudas,spp.,Barracudas,Saosao,Sphyraenidae,GBA,180,18.934,2.999,0,0.00,0.00,0.00,0.00,0.00,0.00,32.34,2.21,10.41,0.00,Barracudas,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
121,0,Sphyraena,"Great barracuda",barracuda,"Great barracuda","Sapatu (Great)",Sphyraenidae,NULL,180,18.795,2.979,0,0.00,0.00,0.00,0.00,2.90,1.04,64.17,4.29,16.59,0.00,"Barracuda, Great",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
122,0,Sphyraena,"Small barracudas",spp.,"Small barracudas",Sapatu,Sphyraenidae,NULL,180,18.394,2.999,0,0.00,0.00,0.00,0.00,0.00,0.00,23.00,1.25,5.19,0.00,"Barracudas, Small",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
123,0,Sphyraena,"Bigeye barracuda",forsteri,"Bigeye barracuda","Sapatu (Bigeye)",Sphyraenidae,NULL,180,18.934,2.999,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Barracuda, Bigeye",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
124,0,Sphyraena,"Heller's barracuda",helleri,"Heller's barracuda","Sapatu (Heller's)",Sphyraenidae,NULL,180,18.934,2.999,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Barracuda, Heller's",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
125,0,Sphyraena,"Blackfin barracuda",qenie,"Blackfin barracuda","Saosao (Blackfin)",Sphyraenidae,NULL,180,18.934,2.999,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Barracuda, Blackfin",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
126,0,Seriola,"Greater amberjack",dumerilii,"Greater amberjack",Malauli,Carangidae,NULL,1799,16.481,2.768,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Amberjack, Greater",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
127,0,Trachinotus,"Snubnose pompano",blochii,"Snubnose pompano",Alalafutu,Carangidae,NULL,1799,16.182,2.763,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Pompano, Snubnose",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
130,0,Mugil,Mullets,cephalus,Mullets,"Anae (Mullets), Agae (Mullets)",Mugilidae,NULL,2347,18.522,3.076,0,0.00,0.00,0.00,0.00,0.00,0.00,3.64,0.57,1.44,0.00,Mullets,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
131,0,Herklotsichthys,Herrings,quadrimaculatus,Herrings,Pelupelu,Clupeidae,NULL,1689,22.615,3.834,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Herrings,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
132,0,"Exocoetus, Cheilopogon",Flyingfishes,spp.,Flyingfishes,Malolo,Exocoetidae,NULL,1310,17.414,2.844,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Flyingfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
133,0,Fistularia,Cornetfish,commersonii,Cornetfish,"Taotao, Kaokaoama",Fistulariidae,NULL,5261,19.614,2.766,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cornetfish,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
134,0,Multi-genera,Needlefishes,Multi-species,Needlefishes,"Au, Ise",Belonidae,NULL,5261,23.330,3.470,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Needlefishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
135,0,Gerres,Mojarras,spp.,Mojarras,"Matu, Maku",Gerreidae,NULL,5261,15.000,3.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mojarras,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
136,0,Hemiramphus,Halfbeaks,spp.,Halfbeaks,Iusila,Hemirhamphidae,NULL,5261,18.390,2.839,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Halfbeaks,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
137,0,Multi-genera,Ponyfishes,Multi-species,Ponyfishes,"Mumu (Ponyfish)",Leiognathidae,NULL,5261,19.730,3.451,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ponyfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
138,0,Multi-genera,Filefishes,Multi-species,Filefishes,Paumalo,Monacanthidae,NULL,4560,10.079,1.573,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Filefishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
139,0,Monodactylus,"Silver batfish",argenteus,"Silver batfish","Vale Vale",Monodactylidae,NULL,5261,17.806,3.075,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Batfish, Silver",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
140,0,Polydactylus,Threadfins,"sexfilis, plebeius",Threadfins,"Umiumia, SaeSae",Polynemidae,NULL,4450,20.618,3.518,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Threadfins,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
141,0,Lactoria,Trunkfishes,spp.,Trunkfishes,Moamoa,Ostraciidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Trunkfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
142,0,Dascyllus,Damselfish,trimaculatus,Damselfish,NULL,Pomacentridae,NULL,5261,17.479,3.053,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Damselfish,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
143,0,Centropyge,Angelfish,flavissima,Angelfish,"Tuuu sama",Pomacanthidae,NULL,5261,16.887,2.924,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Angelfish,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
144,0,Multi-genera,Scorpionfishes,Multi-species,Scorpionfishes,Iatala,Scorpaenidae,NULL,3261,16.607,2.766,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Scorpionfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
145,0,Synaceia,Stonefishes,spp.,Stonefishes,"Nofu, Gofu",Scorpaenidae,NULL,3261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stonefishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
146,0,Pterois,Lionfishes,spp.,Lionfishes,Sausaulele,Scorpaenidae,NULL,3261,14.933,2.400,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Lionfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
147,0,"Saurida, Synodus",Lizardfishes,spp.,Lizardfishes,Taoto,Synodontidae,NULL,5261,19.229,3.152,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Lizardfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
148,0,Multi-genera,Pufferfishes,Multi-species,Pufferfishes,Sue,Tetraodontidae,NULL,2760,16.521,2.851,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Pufferfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
149,0,Multi-genera,"Sharks (unknown coastal)",Multi-species,"Sharks (unknown coastal)","Malie (coastal)",Multi-family,NULL,3508,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,"Sharks (uknown coastal)",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
150,10,Multi-genera,"Sharks (unknown pelagic)",Multi-species,"Sharks (unknown pelagic)","Malie (pelagic)",Multi-family,SHK,3508,10.212,1.912,0,0.00,0.00,0.00,0.00,0.00,0.00,434.35,9.45,90.43,10.00,"Sharks (unknown pelagic)",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
151,7,Prionace,"Blue shark",glauca,"Blue shark","Malie (Blue)",Carcharhinidae,BSH,3508,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,10.00,"Shark, Blue",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
152,0,Ginglymostoma,"Nurse shark",cirratum,"Nurse shark",Moemoeao,Orectolobidae,NULL,3508,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Shark, Nurse",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
153,8,Isurus,"Shortfin mako shark",oxyrinchus,"Shortfin mako shark","Aso polota (Mako)",Lamnidae,MAK,3580,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.43,4.00,"Shark, Mako, Shortfin",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
154,31,Carcharhinus,"Blacktip reef shark",melanopterus,"Blacktip reef shark","Malie alamata",Carcharhinidae,NULL,3508,20.362,3.236,0,0.00,0.00,0.00,0.00,0.00,0.00,116.09,1.64,22.38,0.00,"Shark, Blacktip Reef",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
155,9,Alopias,"Thresher shark",vulpinus,"Thresher shark","Malie (Thresher)",Alopiidae,THR,3500,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193.90,4.00,"Shark, Thresher",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
156,24,Carcharhinus,"White tip oceanic shark",longimanus,"White tip oceanic shark",Apoapo,Carcharhinidae,OCS,3498,19.264,3.079,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.43,4.00,"Shark, White-Tip, Oceanic",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
157,25,Carcharhinus,"Silky shark",falciformis,"Silky shark",NULL,Carcharhinidae,FAL,3508,19.264,3.079,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,4.00,"Shark, Silky",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
158,26,Sphyrna,"Hammerhead shark",lewini,"Hammerhead shark",Mataitaliga,Sphyrnidae,NULL,3516,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,4.00,"Shark, Hammerhead",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
159,27,Galeocerdo,"Tiger shark",cuvier,"Tiger shark",Naiufi,Carcharhinidae,NULL,3515,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,"Shark, Tiger",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
160,23,Multi-genera,Rays,Multi-species,Rays,Fai,Myliobatidae,NULL,2860,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,49.58,1.55,12.25,0.00,Rays,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
161,0,Diodon,"Spiny pufferfish",spp.,"Spiny pufferfish","Kauku (Pufferfish)",Tetradontidae,NULL,2760,16.505,2.848,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Pufferfish, Spiny",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
162,0,Aetobatis,"Eagle ray",narinari,"Eagle ray",Faipea,Myliobatidae,NULL,2860,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Ray, Eagle",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
170,0,Gymnothorax,Eels,spp.,Eels,Pusi,Muraenidae,NULL,1140,29.477,4.407,0,0.00,0.00,0.00,0.00,0.00,0.00,35.97,3.34,10.96,0.00,Eels,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
172,0,Conger,"Conger eels",spp.,"Conger eels",Iaui,Congridae,NULL,1140,29.477,4.402,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Eel, Conger",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
173,0,Conger,"White eel",cinereus,"White eel","Pusi solasulu",Congridae,NULL,1140,29.477,4.402,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Eel, White",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
174,0,Gymnothorax,"Spotted moray eels",spp.,"Spotted moray eels","Pusi gatala",Muraenidae,NULL,1140,23.749,3.552,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Eel, Moray, Spotted",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
175,0,Enchelycore,"Dragon eel",pardalis,"Dragon eel","Pusi auvaeloloa",Muraenidae,NULL,1140,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Eel, Dragon",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
176,0,"Gymnothorax, Muraena","Moray eels",spp.,"Moray eels",Maoae,Muraenidae,NULL,1140,23.749,3.552,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Eels, Moray",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
180,0,Chanos,Milkfish,chanos,Milkfish,Safole,Chanidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Milkfish,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
181,0,Multi-genera,Gobies,Multi-species,Gobies,"Manoo (Gobies)",Gobiidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gobies,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
182,0,Platax,"Batfishes, Spadefishes",spp.,"Batfishes, Spadefishes","Peapea (Batfish)",Ephippidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Batfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
183,0,"Echeneis, Phtheirichthys,",Remoras,Multi-species,Remoras,Talitaliuli,Echeneidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Remoras,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
184,0,Multi-genera,Dottybacks,Multi-species,Dottybacks,Tiva,Pseudochromidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Dottybacks,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
185,0,Plesiops,Prettyfins,spp.,Prettyfins,Aneanea,Plesiopidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prettyfins,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
186,0,Caracanthus,"Coral crouchers",unipinna,"Coral crouchers",Tapua,Caracanthidae,NULL,0,20.000,3.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Crouchers, Coral",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
187,0,Anomalops,Flashlightfish,kaptoptron,Flashlightfish,NULL,Anomalopidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Flashlightfish,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
188,0,Encrasicholina,Anchovies,spp.,Anchovies,Nefu,Engraulidae,NULL,600,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anchovies,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
189,0,"Antennarius, Antennatus",Frogfishes,spp.,Frogfishes,Laotale,Antennariidae,NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Frogfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
190,0,"Ictalurus, Clarias","Catfish (aqua & imp)","punctatus, spp.","Catfish (aqua & imp)",NULL,"Ictaluridae, Clariid",NULL,5300,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Catfishes,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
191,0,Multi-genera,"Seahorses, Pipefishes",Multi-species,"Seahorses, Pipefishes",NULL,Syngnathidae,NULL,0,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Seahorses, Pipefishes",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
192,0,NULL,Swai,NULL,Swai,Swai,Swai,NULL,0,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.00,0.00,Swai,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
200,0,Multi-genera,"Bottomfishes (unknown)",Multi-species,"Bottomfishes (unknown)",NULL,Multi-family,NULL,5261,0.000,0.000,0,0.00,0.00,3.00,0.75,4.00,1.00,31.13,0.31,3.09,0.00,"Bottomfishes (unknown)",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
